sub_RL509-mf	sub_RL511-mf	sub_RL514-mf	sub_RL516-mf	sub_RL518-mf	sub_RL569-mf
TRINITY_DN86_c0_g1	-5.76748797781661	7.5967052375998	-5.76748797781661	3.46045280613908	6.24530588971095	-5.76748797781661
TRINITY_DN328_c0_g1	-3.02710819152894	-3.02710819152894	-3.02710819152894	5.71121717796449	-3.02710819152894	6.39721558815127
TRINITY_DN10_c0_g2	-0.339681043903452	-1.04635866890909	0.201926027134704	2.2774132814857	-3.23108921203513	2.13778961622728
TRINITY_DN147_c0_g1	3.53747687020433	-5.37014991313271	-5.37014991313271	7.76050993055725	-5.37014991313271	4.81246293863656
TRINITY_DN164_c0_g1	-2.84574527916406	-2.84574527916406	5.34500783927914	6.03797327737712	-2.84574527916406	-2.84574527916406
TRINITY_DN142_c0_g2	7.00316248430599	-4.34080656066989	2.95701763901143	-4.34080656066989	3.06223955869224	-4.34080656066989
TRINITY_DN128_c0_g1	0.0564479645895668	-7.72753244909423	3.70466804962996	-0.868308287116024	1.94546207936032	2.88926264263041
TRINITY_DN110_c0_g1	1.73574859795111	-8.18582013489663	3.15243266884315	2.13357538654369	-0.853926855840343	2.01799033739902
TRINITY_DN43_c0_g2	-0.401490602699283	2.93995628941117	-1.63246717822682	-2.45422314975388	0.335010543420285	1.21321409784854
TRINITY_DN59_c0_g3	-3.16440986283052	6.36740044327812	-3.16440986283052	-3.16440986283052	6.29023900804396	-3.16440986283052
TRINITY_DN300_c0_g1	-2.95280066542965	-2.95280066542965	7.2338311177746	-2.95280066542965	-2.95280066542965	4.577371543944
TRINITY_DN180_c0_g1	1.1736095099061	-5.98075293928827	2.53092066053016	5.49106653739487	2.76590917074541	-5.98075293928827
TRINITY_DN97_c0_g2	1.31124242931546	2.72894446762398	2.50967371692844	6.2124391762101	-6.38114989503899	-6.38114989503899
TRINITY_DN324_c0_g1	-4.70311649479634	6.41560595154756	-4.70311649479634	3.07658972995702	4.61715380288445	-4.70311649479634
TRINITY_DN341_c0_g1	-3.08903229682065	7.48871562610958	-3.08903229682065	-3.08903229682065	4.86741356117301	-3.08903229682065
TRINITY_DN167_c0_g1	1.88675216942011	1.42399732778575	-2.37268830034351	-2.79652884008075	2.71398253017036	-0.855514886951973
TRINITY_DN103_c0_g1	-4.52537363228943	-4.52537363228943	7.30013615385	-4.52537363228943	3.29485639807291	2.98112834494537
TRINITY_DN242_c0_g1	-4.60468473278224	7.52191521185723	1.98422474715401	4.30791423933548	-4.60468473278224	-4.60468473278224
TRINITY_DN162_c0_g2	1.10146593022011	-0.133263837924618	-2.64640653208286	0.242440703758547	2.1569147339362	-0.721150997907371
TRINITY_DN60_c0_g2	2.25285937239696	2.10840128809049	-0.709043003790814	-2.54697610130848	-1.05594393713625	-0.0492976182519129
TRINITY_DN303_c0_g1	-4.40912322921167	6.5373218060859	-4.40912322921167	-4.40912322921167	3.00301469705585	3.68703318449327
TRINITY_DN76_c0_g1	2.40130806087811	-6.29050174747342	-6.29050174747342	2.4329987937752	6.12035156279352	1.62634507750001
TRINITY_DN124_c0_g1	-5.81547775790408	4.61347381947197	3.15283767754925	-5.81547775790408	3.58006923001804	0.28457478876891
TRINITY_DN155_c0_g1	-4.65022034261626	7.5899544335728	1.57913685351343	4.78156974076254	-4.65022034261626	-4.65022034261626
TRINITY_DN362_c0_g1	-3.33092825905707	7.45143279628059	-3.33092825905707	-3.33092825905707	5.8722802399477	-3.33092825905707
TRINITY_DN352_c0_g1	-3.1187405735494	7.92427918886656	4.55068310533103	-3.1187405735494	-3.1187405735494	-3.1187405735494
TRINITY_DN264_c0_g1	-4.25367586978836	-4.25367586978836	3.8557369299447	5.13582210946209	-4.25367586978836	3.76946856995829
TRINITY_DN248_c0_g1	-0.0104135683539717	-7.15360287926406	2.34477764944149	2.38289885006744	0.584955562442641	1.85138438566645
TRINITY_DN251_c0_g1	1.64141273613264	-7.92102623235749	1.03143256252153	4.57020757445175	0.203756809284466	0.474216549967109
TRINITY_DN227_c0_g1	2.76925441542052	-4.27626500426958	-4.27626500426958	3.84668719929323	-4.27626500426958	6.212853398095
TRINITY_DN365_c0_g1	3.33460850519239	6.06022421247434	-4.33533241471751	-4.33533241471751	-4.33533241471751	3.61116452648579
TRINITY_DN35_c1_g2	1.17882648045082	0.681986040460703	3.57238941761349	3.15409786385684	-10.4579911510781	1.87069134869621
TRINITY_DN270_c0_g1	-3.25120609835881	7.90511340375584	-3.25120609835881	5.09971098967939	-3.25120609835881	-3.25120609835881
TRINITY_DN10_c0_g5	0.759629030741861	-0.474569998841739	-0.134605370891713	-2.34771857001777	-1.88622818175991	4.08349309076927
TRINITY_DN171_c2_g1	4.30733819717893	-4.84108754022531	6.40841350321161	3.80751092028538	-4.84108754022531	-4.84108754022531
TRINITY_DN80_c1_g1	-3.71399251084331	-3.71399251084331	4.39091545211638	10.4650545912569	-3.71399251084331	-3.71399251084331
TRINITY_DN342_c0_g1	2.17729748938616	-3.70988656312579	6.50613534123951	-3.70988656312579	-3.70988656312579	2.4462268587517
TRINITY_DN59_c0_g1	-8.49666347387046	3.59257644712481	1.1186994835364	0.0850041191039708	2.89872767025347	0.801655753851808
TRINITY_DN249_c0_g1	4.59859913582552	7.99966835487962	-3.14956687267629	-3.14956687267629	-3.14956687267629	-3.14956687267629
TRINITY_DN366_c0_g1	-2.8704732185361	-2.8704732185361	4.62287789963715	-2.8704732185361	-2.8704732185361	6.85901497450724
TRINITY_DN26_c0_g1	-0.692927437829173	5.34936276914137	0.235058999300247	3.15143204506951	0.326719806265649	-8.36964618194761
TRINITY_DN322_c0_g1	-2.96858016105504	6.57295597361176	-2.96858016105504	-2.96858016105504	5.3013646706084	-2.96858016105504
TRINITY_DN166_c0_g1	-3.20176558254246	-3.20176558254246	8.39983391047441	4.40722841969544	-3.20176558254246	-3.20176558254246
TRINITY_DN325_c0_g1	-3.20377094387308	-3.20377094387308	-3.20377094387308	7.53222078429526	5.28286299119708	-3.20377094387308
TRINITY_DN257_c0_g1	-5.86926669560279	-5.86926669560279	3.40625956532892	2.52949836943695	2.06171304166346	3.74106241477625
TRINITY_DN164_c0_g2	-1.25289997665298	-0.80666543079789	2.07380226034262	1.64619371812912	-0.675211306144767	-0.985219264876103
TRINITY_DN345_c0_g1	-3.1659608016577	-3.1659608016577	8.0645742756546	4.59926893097621	-3.1659608016577	-3.1659608016577
TRINITY_DN267_c0_g1	-6.82417217570396	4.26485450529775	0.948848312939332	-0.858549481935706	2.18043876281305	0.288580076589528
TRINITY_DN280_c0_g1	-3.05503644403118	-3.05503644403118	8.05056306953784	4.16958270658687	-3.05503644403118	-3.05503644403118
TRINITY_DN200_c0_g1	1.84932821398633	-0.769066361060892	-0.816523240644417	-1.10169534438117	1.75815274904205	-0.920196016941899
TRINITY_DN109_c2_g1	7.77543645408091	-3.06212525550315	-3.06212525550315	-3.06212525550315	-3.06212525550315	4.47306456793169
TRINITY_DN101_c2_g1	3.09595667486683	-4.50173836495224	3.45846054817122	-4.50173836495224	-4.50173836495224	6.95079787181865
TRINITY_DN30_c1_g1	1.00900154257328	2.59035774423582	-0.661329052972114	0.113533041692296	-0.919154576422041	-2.13240869910723
TRINITY_DN38_c1_g1	7.77935323163342	6.51944218681573	-3.57469885461229	-3.57469885461229	-3.57469885461229	-3.57469885461229
TRINITY_DN142_c1_g1	-3.3174950530243	-3.3174950530243	8.93306836764814	-3.3174950530243	-3.3174950530243	4.33691184444906
TRINITY_DN101_c1_g1	3.15952728241779	-5.82126350361176	2.02044549947546	6.36717389443591	-5.82126350361176	0.0953803308943675
TRINITY_DN3_c0_g3	5.51665211693133	4.94217258593778	-6.76214955052393	3.60315914241504	-6.76214955052393	-0.537684744236281
TRINITY_DN93_c0_g1	-0.50107558745426	-1.89430759084942	2.30469738620312	-0.323101712390939	-0.948315560220989	1.36210306471249
TRINITY_DN340_c0_g1	-3.31033126801311	8.01333546614789	-3.31033126801311	-3.31033126801311	5.22798960590457	-3.31033126801311
TRINITY_DN102_c1_g3	-0.422163544657615	-0.324037503964431	1.19733546189554	3.21734141772783	-7.50070933784733	3.832233506846
TRINITY_DN256_c0_g4	-3.37280663587291	-3.37280663587291	-3.37280663587291	9.27298214651909	-3.37280663587291	4.21824439697253
TRINITY_DN320_c0_g1	2.89583501018754	-5.57570608829099	-5.57570608829099	1.00824917999316	5.07042596024586	2.17690202615541
TRINITY_DN292_c0_g1	-3.01383480431673	-3.01383480431673	-3.01383480431673	4.91986765177366	-3.01383480431673	7.13547156549327
TRINITY_DN314_c0_g1	-2.97163734756121	-2.97163734756121	4.80156121453343	7.0849881757114	-2.97163734756121	-2.97163734756121
TRINITY_DN101_c0_g1	0.17865778847106	1.80278634289753	3.86878594362388	3.36356919660212	-10.2275897423355	1.01379047074092
TRINITY_DN177_c0_g1	3.04585524726019	-6.82600841801123	4.08248703428007	3.81427538729074	-6.82600841801123	2.70939916719146
TRINITY_DN62_c0_g2	-4.14360626387016	-4.14360626387016	2.56407036423819	8.3833315856884	-4.14360626387016	1.4834168416839
TRINITY_DN218_c0_g2	1.9947064550753	-0.019697632185057	0.47939313608866	-8.10224056601003	0.132481081344091	5.51535752568704
TRINITY_DN102_c3_g2	2.52075486112932	-6.76017826104412	2.3025317145328	5.43560608606743	-6.76017826104412	3.2614638603587
TRINITY_DN13_c0_g1	-1.41071271615302	-1.06502449565985	0.72935846605003	2.09769806856042	-2.96849493059351	2.61717560779593
TRINITY_DN343_c0_g1	-4.21963676759642	6.07466117662782	3.43699545701726	3.14725366914418	-4.21963676759642	-4.21963676759642
TRINITY_DN138_c0_g1	3.07569169710462	-6.32407327508892	4.31287029804317	0.802486662925406	-6.32407327508892	4.45709789210465
TRINITY_DN17_c0_g1	-0.0691156487641624	2.49826609761571	-4.38907280187355	1.88981886309214	3.53206582106243	-3.46196233113256
TRINITY_DN178_c0_g1	3.25468307523194	5.25409313091217	3.61528011692424	-4.04135210768945	-4.04135210768945	-4.04135210768945
TRINITY_DN119_c0_g1	-4.86236610302755	3.24579240642613	6.23095637901172	-4.86236610302755	-4.86236610302755	5.11034952364478
TRINITY_DN301_c0_g1	-3.13249615674597	6.17515321867987	-3.13249615674597	-3.13249615674597	6.35483140830401	-3.13249615674597
TRINITY_DN217_c0_g2	1.56851706010381	4.57531163497718	-5.4770023595863	1.65111572616516	3.15906029792645	-5.4770023595863
TRINITY_DN194_c0_g1	-5.85603453284218	5.12148367328455	1.80989823812282	0.532843805969808	4.24784334830719	-5.85603453284218
TRINITY_DN8_c0_g2	2.05253351107789	-9.27855025300593	4.2390284717876	1.44592352469517	-0.546094486779555	2.08715923222483
TRINITY_DN114_c0_g1	6.69982258440217	-5.02589642171026	3.06880941890166	-5.02589642171026	5.30905726182693	-5.02589642171026
TRINITY_DN26_c1_g1	5.61141020888768	-5.10483051537191	-5.10483051537191	-5.10483051537191	6.72057631358724	2.98250502364082
TRINITY_DN153_c1_g1	-0.347948922944489	1.64106331452348	3.7055095165453	2.22156639480656	-8.14441040564344	0.924220102712582
TRINITY_DN126_c2_g1	-3.29465064509366	6.62335089095152	-3.29465064509366	-3.29465064509366	6.55525168942311	-3.29465064509366
TRINITY_DN360_c0_g1	-3.02416717256223	-3.02416717256223	-3.02416717256223	4.65305915567309	-3.02416717256223	7.44360953457583
TRINITY_DN275_c1_g1	3.40750213918925	6.12714863603923	-4.4054965785603	-4.4054965785603	-4.4054965785603	3.68183896045243
TRINITY_DN10_c0_g1	-3.05098239525977	5.36114655366152	-1.19953550611428	0.694662954598854	0.0245714213226602	-1.82986302820898
TRINITY_DN197_c0_g1	0.646575675176539	1.3588102350932	3.85943024942972	1.75980036767935	-9.28440110624107	1.65978457886226
TRINITY_DN272_c0_g1	3.3460660375904	-4.41811554777837	6.28733454743582	-4.41811554777837	-4.41811554777837	3.62094605830889
TRINITY_DN189_c3_g1	-3.40925495246601	-3.40925495246601	7.76053040637018	5.87648940349385	-3.40925495246601	-3.40925495246601
TRINITY_DN235_c0_g1	-5.47263793304404	5.82294218764178	-5.47263793304404	1.49517623753104	2.96261977271127	0.664537668203993
TRINITY_DN134_c0_g1	-0.826480648827529	-1.41690315854787	0.555686596668082	1.39664431793662	-1.18280721794811	1.47386011071881
TRINITY_DN32_c0_g2	-8.02130555139395	-8.02130555139395	8.65681046315467	2.28426034009994	3.16239061302668	1.93914968650661
TRINITY_DN318_c0_g1	-2.99039401623337	-2.99039401623337	6.8155223242339	-2.99039401623337	-2.99039401623337	5.14605374069957
TRINITY_DN307_c0_g1	-3.00328941940071	7.1770984166808	-3.00328941940071	4.83605926092203	-3.00328941940071	-3.00328941940071
TRINITY_DN296_c0_g1	-4.17911980217206	3.45541538559409	5.97305600985168	3.10888801107039	-4.17911980217206	-4.17911980217206
TRINITY_DN363_c0_g1	-5.31761804883756	2.21323302628962	1.12622063511035	2.45586406634777	-5.31761804883756	4.83991836992737
TRINITY_DN78_c0_g1	1.11124615711302	-6.39622344374374	5.06314771978642	1.42519978519546	-6.39622344374374	5.19285322539258
TRINITY_DN87_c0_g1	3.45079581821459	-6.43781654734867	1.70746859632569	6.01191427001718	1.70545441013987	-6.43781654734867
TRINITY_DN34_c0_g2	-4.81322088554711	-4.81322088554711	7.86680957629868	2.17947957745996	-4.81322088554711	4.39337350288268
TRINITY_DN86_c0_g2	4.11827631134849	2.22947621439187	-5.80465144314146	1.87122093039466	3.3903294301479	-5.80465144314146
TRINITY_DN72_c0_g2	1.10235326259044	0.897904536682057	5.20269476873733	5.45762513293136	-6.33028885047059	-6.33028885047059
TRINITY_DN14_c0_g2	-4.03272852644016	-4.03272852644016	2.42991279439979	2.88060372699282	-4.03272852644016	6.78766905792788
TRINITY_DN339_c0_g1	2.94350613616374	5.95130302402451	-4.04000055894413	-4.04000055894413	-4.04000055894413	3.22519251664416
TRINITY_DN187_c0_g1	2.60531144925737	3.11873178156917	0.714622122563421	-0.0275754672513511	1.51915011008673	-7.93023999622535
TRINITY_DN334_c0_g1	1.22118099461821	-5.24811893053818	5.46695589837231	2.31142641679492	-5.24811893053818	1.49667455129091
TRINITY_DN30_c0_g1	-0.420200759285676	1.24451723002051	-1.88960564903239	0.0633564593382143	1.95864859353134	-0.956715874571991
TRINITY_DN174_c0_g1	6.21751161979722	4.54489493355566	-4.47518494949204	2.66314829512323	-4.47518494949204	-4.47518494949204
TRINITY_DN286_c0_g1	3.88327605517115	-2.54374340066519	-2.54374340066519	6.2916975474896	-2.54374340066519	-2.54374340066519
