sub_RL509-mf	sub_RL511-mf	sub_RL514-mf	sub_RL516-mf	sub_RL518-mf	sub_RL569-mf
TRINITY_DN136_c0_g1	-4.53554124244976	-4.53554124244976	3.55916459816216	3.25863415468721	-4.53554124244976	6.78882497449993
TRINITY_DN305_c0_g1	-2.9436425862344	-2.9436425862344	-2.9436425862344	-2.9436425862344	4.64357236621814	7.13099797871946
TRINITY_DN243_c0_g1	1.48597231508109	-5.66839013411328	2.84328346570516	1.56461590729533	-5.66839013411328	5.44290858014498
TRINITY_DN299_c0_g1	3.61190961802007	-4.46027659202689	5.77775070419262	3.99116945386799	-4.46027659202689	-4.46027659202689
TRINITY_DN117_c0_g2	3.13190504570767	-6.363212459636	5.25153234732822	1.75197168058709	-6.363212459636	2.59101584564902
TRINITY_DN43_c0_g3	1.43835405648649	-6.79386538299862	3.26895250482714	2.57129346267237	-6.79386538299862	6.30913074201125
TRINITY_DN235_c0_g2	-2.37264320581027	2.44938965736108	-0.0418325274902136	-0.689496878550065	1.77321518595821	-1.11863223146874
TRINITY_DN289_c0_g1	-4.14952966035304	5.46811411335783	-4.14952966035304	-4.14952966035304	3.64697075833061	3.33350410937067
TRINITY_DN5_c1_g1	2.41585657135568	0.83379619287906	-0.854833088583577	-0.633131634621005	-0.542890873237925	-1.21879716779223
TRINITY_DN101_c0_g3	4.73714026006901	5.27861005023887	0.82862196318494	-7.23266821484416	-7.23266821484416	3.62096415619551
TRINITY_DN281_c0_g1	-6.87183078817313	0.592077707706782	0.523000571880211	1.24087976863569	0.757234348919149	3.7586383910313
TRINITY_DN315_c0_g1	-3.06343004266992	6.8129549066084	-3.06343004266992	-3.06343004266992	5.44076526407126	-3.06343004266992
TRINITY_DN238_c0_g1	2.81600180234803	-6.1774970797013	2.15262206325105	2.82857368163162	-6.1774970797013	4.5577966121719
TRINITY_DN185_c0_g1	-4.4513802583366	-4.4513802583366	4.36635170880105	-4.4513802583366	2.61234916586146	6.37543990034729
TRINITY_DN284_c0_g1	-5.87773706610011	5.50596992602531	1.53844399191867	2.25547194808615	-5.87773706610011	2.45558826617008
TRINITY_DN160_c0_g2	3.8208978652259	-5.0218924487965	-5.0218924487965	8.14685408967345	-5.0218924487965	3.09792539149015
TRINITY_DN102_c1_g1	2.47129144580419	-7.10169861675603	5.23236959236511	4.62635495771131	-7.10169861675603	1.87338123763145
TRINITY_DN240_c0_g1	-5.50168159422152	-5.50168159422152	4.67316296560255	5.50081419330756	-5.50168159422152	6.33106762375444
TRINITY_DN102_c3_g1	-3.10588716199611	-3.10588716199611	7.25718861734156	5.16636003064289	-3.10588716199611	-3.10588716199611
TRINITY_DN271_c0_g1	-2.97077894095856	-2.97077894095856	-2.97077894095856	6.99481345250204	-2.97077894095856	4.88830231133218
TRINITY_DN287_c0_g1	-3.07151570536828	-3.07151570536828	4.90452709210967	-3.07151570536828	-3.07151570536828	7.38153572936344
TRINITY_DN279_c0_g1	-3.46039897943792	-3.46039897943792	10.0250888560593	3.8165070616924	-3.46039897943792	-3.46039897943792
TRINITY_DN253_c0_g1	-4.11736129105273	6.79715315460356	2.81499521313667	-4.11736129105273	-4.11736129105273	2.73993550541796
TRINITY_DN56_c0_g1	3.57244379013651	-4.67066829420153	-4.67066829420153	8.58837772396977	1.8511833684983	-4.67066829420153
TRINITY_DN335_c0_g1	5.64238180861007	1.85201325190196	1.75464589120133	-5.61901971866618	1.98899848561899	-5.61901971866618
TRINITY_DN234_c0_g1	-6.00101264063389	-6.00101264063389	4.90950342689284	2.44804931659822	2.97811812626214	1.66635441151458
TRINITY_DN172_c0_g1	3.53727870105876	-4.27741270383574	4.89300813880905	-4.27741270383574	-4.27741270383574	4.40195127163941
TRINITY_DN117_c0_g3	-0.0360864102770382	-0.277771179962357	-0.0915784159805195	-2.16582178387252	-1.09089473436482	3.66215252445726
TRINITY_DN306_c0_g1	-3.14553564654035	-3.14553564654035	6.62688450668848	-3.14553564654035	-3.14553564654035	5.9552580794729
TRINITY_DN260_c1_g1	3.84994994760517	2.70418732950942	7.42966974665392	-4.66126900792284	-4.66126900792284	-4.66126900792284
TRINITY_DN10_c0_g3	-1.28261089631403	2.47852390477502	-0.544025458393467	-0.765979348664118	1.04921066374455	-0.935118865147956
TRINITY_DN260_c0_g1	-4.43636634721538	-4.43636634721538	4.75150282586477	2.88534532718391	-4.43636634721538	5.67225088859747
TRINITY_DN330_c0_g1	-3.16850500788231	7.64118033428061	-3.16850500788231	-3.16850500788231	5.03283969724862	-3.16850500788231
TRINITY_DN133_c1_g1	-4.57848498935002	6.01762834293989	-4.57848498935002	-4.57848498935002	4.01536921557897	3.7024574095312
TRINITY_DN170_c0_g1	-1.03921024967539	-7.99301092814742	3.49171581680029	2.03695537912653	1.17256943413385	2.33098054776215
TRINITY_DN3_c0_g1	-0.0880161460195659	0.417421103335917	-1.92079644395571	-1.81582300147787	-0.989068852412291	4.39628334052952
TRINITY_DN42_c0_g1	2.30204425203464	3.27643946769146	-5.15087894355488	-0.495033552814251	0.949337309180859	-0.881908532537816
TRINITY_DN151_c1_g1	3.47618547082784	-4.35328358128924	3.83746953715397	-4.35328358128924	-4.35328358128924	5.74619573588592
TRINITY_DN44_c0_g1	0.918209693145799	-5.76000309327557	1.2524091457043	6.18108230442894	-5.76000309327557	3.16830504327209
TRINITY_DN246_c0_g1	3.31742744612021	-4.0533296965262	4.25285050326691	-4.0533296965262	-4.0533296965262	4.58971114019149
TRINITY_DN34_c0_g1	1.07423865803804	-6.19697222637028	7.22642906854225	2.73593638805932	-6.19697222637028	1.35734033810097
