sub_RL509-mf	sub_RL511-mf	sub_RL514-mf	sub_RL516-mf	sub_RL518-mf	sub_RL569-mf
sub_RL509-mf	1	-0.218567470908191	-0.170233799180597	-0.136989403865304	-0.228501228671576	-0.0899356598172252
sub_RL511-mf	-0.218567470908191	1	-0.468543494374615	-0.351790446171864	0.240610342799139	-0.436019543267953
sub_RL514-mf	-0.170233799180597	-0.468543494374615	1	0.0516338482125126	-0.449793026374596	0.101907324872059
sub_RL516-mf	-0.136989403865304	-0.351790446171864	0.0516338482125126	1	-0.324138816700541	-0.164508606140146
sub_RL518-mf	-0.228501228671576	0.240610342799139	-0.449793026374596	-0.324138816700541	1	-0.321591285519872
sub_RL569-mf	-0.0899356598172252	-0.436019543267953	0.101907324872059	-0.164508606140146	-0.321591285519872	1
