sub_RL509-mf	sub_RL511-mf	sub_RL514-mf	sub_RL516-mf	sub_RL518-mf	sub_RL569-mf
sub_RL509-mf	1	-0.210394018367058	-0.16235023735651	-0.122454544478234	-0.258771783411115	-0.0902696468820054
sub_RL511-mf	-0.210394018367058	1	-0.478721190365284	-0.366294014245942	0.263158392849666	-0.438154758100993
sub_RL514-mf	-0.16235023735651	-0.478721190365284	1	0.0457255832753427	-0.442262827549309	0.10499048019992
sub_RL516-mf	-0.122454544478234	-0.366294014245942	0.0457255832753427	1	-0.325069262431879	-0.158970492603443
sub_RL518-mf	-0.258771783411115	0.263158392849666	-0.442262827549309	-0.325069262431879	1	-0.327327465790616
sub_RL569-mf	-0.0902696468820054	-0.438154758100993	0.10499048019992	-0.158970492603443	-0.327327465790616	1
